Region,Temperature,Temp_min,Temp_max,Abundance,Ab_min,Ab_max,Norm,Norm_min,Norm_max,Flux,ReducedChiSquare 
0.0-20.58,2.2532409921738994,-0.11561695107942363,0.11561695107942363,0.9103551302437725,-0.13630946753384626,0.13630946753384626,0.0006099066421164502,-3.707944563883577e-05,3.707944563883577e-05,-12.073889316923633,2.001377796739875
20.58-29.4,2.4593920171730477,-0.12091866229469748,0.12091866229469748,0.9656695213238954,-0.17653327263686824,0.17653327263686824,0.0004665492070838263,-3.2432778361859365e-05,3.2432778361859365e-05,-12.174142874070204,1.8687382190476485
29.4-38.22,2.58628156806402,-0.11306047886197494,0.11306047886197494,1.040660475247463,-0.1885349481583844,0.1885349481583844,0.0004945994493386214,-3.372599001627775e-05,3.372599001627775e-05,-12.13300873000551,1.9632842726928683
38.22-47.04,2.850576798024007,-0.18091490082296474,0.18091490082296474,1.0270897725256303,-0.19240949779252708,0.19240949779252708,0.0005095667278069066,-3.3526857820587286e-05,3.3526857820587286e-05,-12.113180242026923,1.7191951616514365
47.04-55.86,3.273611375089945,-0.17006176522984912,0.17006176522984912,1.471239209737419,-0.28702151091121997,0.28702151091121997,0.00044249738698421776,-3.2801614302147216e-05,3.2801614302147216e-05,-12.10131988828353,1.6304337296075047
55.86-67.62,3.0991511492141854,-0.16740422775580288,0.16740422775580288,1.002532452433003,-0.18746287357901775,0.18746287357901775,0.0006283602178241412,-3.8116861563416536e-05,3.8116861563416536e-05,-12.017341014075676,1.7507399170288485
67.62-79.38,3.2238117173891983,-0.16941607695222466,0.16941607695222466,0.8332687485022396,-0.16225704891928114,0.16225704891928114,0.0006562496281667331,-3.640249795149699e-05,3.640249795149699e-05,-12.016527975745664,1.850535440986431
79.38-91.14,3.070640123905641,-0.1723344877697,0.1723344877697,0.7723367376714978,-0.15030885369082647,0.15030885369082647,0.0006549272197285998,-3.630049574855183e-05,3.630049574855183e-05,-12.033813222044214,1.7671985258981557
91.14-102.9,3.784577892252581,-0.2701714248730307,0.2701714248730307,0.7052786403964064,-0.18322462834216768,0.18322462834216768,0.0005847858317870477,-3.428147250601903e-05,3.428147250601903e-05,-12.061810292029982,1.7129636937260064
102.9-114.66,4.557587538777747,-0.38390034764477204,0.38390034764477204,0.7996450406512442,-0.2289398322002891,0.2289398322002891,0.0005299953928291944,-3.1731066435910645e-05,3.1731066435910645e-05,-12.063651637886379,1.7651687638073295
114.66-129.36,4.173027914410336,-0.2247872508824314,0.2247872508824314,0.6768385576154711,-0.1866890871620707,0.1866890871620707,0.0006314845949924868,-3.4652941234616255e-05,3.4652941234616255e-05,-12.015705767236396,1.7191912239804066
129.36-144.06,4.858383226081496,-0.4022318656837072,0.4022318656837072,0.7268794786152555,-0.21977917495915789,0.21977917495915789,0.0005889750216885488,-3.3380156925804486e-05,3.3380156925804486e-05,-12.01804257642945,1.6744172902775398
