Radius,Temperature
2.2641781755,2.3254282544
12.0389330399,2.596994326
17.5667752149,3.0196739944
27.4173033728,3.502647555
40.41783559,3.7741324409
52.4044489748,4.2167837845
65.4699297293,4.6694750895
83.7818089972,4.7596182469
97.709661997,4.6183281164
119.3844321964,5.0909369729
139.6880666083,4.7380769821
158.1767502278,5.3215042803
182.9041016805,5.3108148335
207.5051643108,4.9477795719
234.6572611563,5.7021297708
261.524306088,5.6611851304
290.5310444988,5.5899852964
319.563040674,5.5892546253
353.8883426396,5.3568471093
386.2399307216,5.617777858
420.2910055296,4.6202765725
456.0451753159,5.3744102763
